run_year,fishery,Location,Month,limit
1991,40,SF,10,20
1991,40,FB,11,20
1991,40,MO,11,20
1991,40,SF,11,20
1992,40,FB,2,20
1992,40,MO,2,20
1992,40,SF,2,20
1992,40,FB,3,20
1992,40,MO,3,20
1992,40,SF,3,20
1992,40,FB,4,20
1992,40,MO,4,20
1992,40,SF,4,20
1992,10,MO,5,26
1992,10,NO,5,26
1992,10,SF,5,26
1992,40,CO,5,20
1992,40,FB,5,20
1992,40,MO,5,20
1992,40,NO,5,20
1992,40,SF,5,20
1992,10,MO,6,26
1992,10,SF,6,26
1992,40,CO,6,20
1992,40,FB,6,20
1992,40,MO,6,20
1992,40,NO,6,20
1992,40,SF,6,20
1992,10,MO,7,26
1992,10,NO,7,26
1992,10,SF,7,26
1992,40,CO,7,20
1992,40,FB,7,20
1992,40,KC,7,20
1992,40,KO,7,20
1992,40,MO,7,20
1992,40,NO,7,20
1992,40,SF,7,20
1992,10,MO,8,26
1992,10,NO,8,26
1992,10,SF,8,26
1992,40,MO,8,20
1992,40,NO,8,20
1992,40,SF,8,20
1992,10,MO,9,26
1992,10,NO,9,26
1992,10,SF,9,26
1992,40,CO,9,20
1992,40,FB,9,20
1992,40,KC,9,20
1992,40,KO,9,20
1992,40,MO,9,20
1992,40,NO,9,0
1992,40,SF,9,20
1992,10,CO,10,26
1992,10,NO,10,26
1992,40,CO,10,20
1992,40,FB,10,20
1992,40,KO,10,20
1992,40,MO,10,20
1992,40,NO,10,0
1992,40,SF,10,20
1992,40,FB,11,20
1992,40,MO,11,20
1992,40,SF,11,20
1993,40,FB,2,20
1993,40,MO,2,20
1993,40,SF,2,20
1993,40,FB,3,20
1993,40,MO,3,20
1993,40,SF,3,20
1993,40,FB,4,20
1993,40,MO,4,20
1993,40,SF,4,20
1993,10,CO,5,26
1993,10,FB,5,26
1993,10,MO,5,26
1993,10,NO,5,26
1993,10,SF,5,26
1993,40,CO,5,20
1993,40,FB,5,20
1993,40,KC,5,20
1993,40,KO,5,20
1993,40,MO,5,20
1993,40,NO,5,20
1993,40,SF,5,20
1993,10,CO,6,26
1993,10,MO,6,26
1993,10,NO,6,26
1993,10,SF,6,26
1993,40,CO,6,20
1993,40,FB,6,20
1993,40,KC,6,20
1993,40,KO,6,20
1993,40,MO,6,20
1993,40,NO,6,20
1993,40,SF,6,20
1993,10,MO,7,26
1993,10,NO,7,26
1993,10,SF,7,26
1993,40,CO,7,20
1993,40,FB,7,20
1993,40,KC,7,20
1993,40,KO,7,20
1993,40,MO,7,20
1993,40,NO,7,20
1993,40,SF,7,20
1993,10,MO,8,26
1993,10,NO,8,26
1993,10,SF,8,26
1993,40,CO,8,20
1993,40,FB,8,20
1993,40,KC,8,20
1993,40,KO,8,20
1993,40,MO,8,20
1993,40,NO,8,20
1993,40,SF,8,20
1993,10,CO,9,26
1993,10,FB,9,26
1993,10,MO,9,26
1993,10,NO,9,26
1993,10,SF,9,26
1993,40,FB,9,20
1993,40,KC,9,20
1993,40,KO,9,20
1993,40,MO,9,20
1993,40,NO,9,0
1993,40,SF,9,20
1993,10,CO,10,26
1993,10,NO,10,26
1993,40,CO,10,20
1993,40,FB,10,20
1993,40,KO,10,20
1993,40,MO,10,20
1993,40,NO,10,0
1993,40,SF,10,20
1993,10,CO,11,26
1993,40,CO,11,20
1993,40,FB,11,20
1993,40,KO,11,20
1994,40,FB,2,20
1994,40,MO,2,20
1994,40,SF,2,20
1994,40,FB,3,20
1994,40,MO,3,20
1994,40,SF,3,20
1994,40,FB,4,20
1994,40,MO,4,20
1994,40,SF,4,20
1994,10,CO,5,26
1994,10,KO,5,26
1994,10,MO,5,26
1994,10,NO,5,26
1994,10,SF,5,26
1994,40,CO,5,20
1994,40,FB,5,20
1994,40,KC,5,20
1994,40,KO,5,20
1994,40,MO,5,20
1994,40,NO,5,20
1994,40,SF,5,20
1994,10,CO,6,26
1994,10,MO,6,26
1994,10,NO,6,26
1994,10,SF,6,26
1994,40,CO,6,20
1994,40,FB,6,20
1994,40,KC,6,20
1994,40,KO,6,20
1994,40,MO,6,20
1994,40,NO,6,20
1994,40,SF,6,20
1994,10,MO,7,26
1994,10,SF,7,26
1994,40,MO,7,20
1994,40,SF,7,20
1994,10,KO,8,26
1994,10,MO,8,26
1994,10,SF,8,26
1994,40,FB,8,20
1994,40,KC,8,20
1994,40,KO,8,20
1994,40,MO,8,20
1994,40,SF,8,20
